title,count,permission
Maha UPI,15,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_SMS,com.google.android.c2dm.permission.RECEIVE,com.infrasofttech.mahaupi.permission.C2D_MESSAGE"
"UPI App- Pay,Split & Earn",18,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES"
"Nupay-""THE"" UPI app to use",12,"android.permission.ACCESS_NETWORK_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,com.nupay.customer.permission.C2D_MESSAGE"
RBLPay,22,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.FLASHLIGHT,android.permission.INTERNET,android.permission.READ_CALENDAR,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_CALENDAR,android.permission.WRITE_CONTACTS,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.rblbank.upi.gcm.permission.C2D_MESSAGE"
PhonePe - India's Payment App,20,"android.Manifest.permission.ACCESS_COARSE_LOCATION,android.Manifest.permission.ACCESS_FINE_LOCATION,android.Manifest.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_PROFILE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.phonepe.app.permission.C2D_MESSAGE"
Canara Bank UPI- eMpower,16,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SMS,com.google.android.c2dm.permission.RECEIVE,upi.npst.com.upicanara.permission.C2D_MESSAGE"
Jugnoo Pay - UPI based,14,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.INTERNET,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.jugnoo.pay.permission.C2D_MESSAGE"
BHIM,14,"android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_PROFILE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,in.org.npci.upiapp.permission.C2D_MESSAGE"
OBC UPI PSP,12,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CAMERA,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE"
Andhra Bank ONE – UPI App,11,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.olive.andhra.upi.permission.C2D_MESSAGE"
